,cluster_id,custom_genre,description,exemplar_overview,included_movies
0,5,Clever Heist Capers,"This genre centers on movies that mix intricate heist plots with charming, cunning characters who often rely on wit, teamwork, and hustling creativity to pull off high-stakes steals. Featuring a blend of suspense, action, and humor, these films explore the dynamics of crime rings, cons, and elaborate schemes, often with personal relationships and double-crosses adding compelling twists.","In 'Midnight Shuffle,' a charismatic mastermind teams up with a colorful crew of high-tech thieves to raiding a corrupt tycoon's hidden vault during a glamorous city gala. As alliances shift and secrets emerge amidst dazzling cons and nail-biting escapes, the team must outwit both law enforcers and their own treacherous pasts to pull off the perfect caper.","['Heist', 'To Catch a Thief', 'Trading Places', 'Heat', ""White Men Can't Jump"", 'Gone in Sixty Seconds', 'The Italian Job', 'The Town', 'Small Time Crooks']"
1,8,Elite Espionage Thrillers,"This genre encompasses high-stakes, stylish spy and espionage films featuring elite agents navigating complex political intrigues, global threats, and deadly adversaries. These movies blend intense action, clever deception, and charismatic protagonists on missions that could shape world events.","When an elusive international syndicate threatens global security by weaponizing a top-secret solar device, veteran secret agent Jack Mercer must infiltrate enemy ranks, uncover hidden moles, and stop a catastrophic catastrophe that could ignite worldwide war.","['Spy', 'The Hunt for Red October', 'GoldenEye', 'Spectre', 'Mission: Impossible', 'The Bourne Ultimatum', ""On Her Majesty's Secret Service"", 'The Spy Who Loved Me', 'Moonraker', 'The Man with the Golden Gun', 'RED 2', 'Tomorrow Never Dies', 'Mission: Impossible III', 'True Lies', 'Tinker Tailor Soldier Spy']"
2,17,Psych-Crime Duets,"Films where crime investigations intertwine deeply with psychological intrigue and complicated personal relationships—often blurring lines between obsession, empathy, and love.","A seasoned detective teams up with an insightful therapist to catch a cunning serial killer whose crime patterns mirror past atrocities. Along the way, emotional boundaries crumble as their personal demons come to light, proving that in the pursuit of justice, the mind can be both ally and adversary.","['Stakeout', 'Laura', 'Vertigo', 'Copycat', 'The Cell', 'Kalifornia', 'Se7en', 'Zodiac', 'Prisoners', 'Gone Girl']"
3,18,Lethal Vendetta,"These films center on elite assassins whose deadly professions intertwine with personal codes, honor, and intense, often brutal quests for vengeance.","After surviving a betrayal that left her for dead, a famed assassin embarks on a relentless and bloody campaign to dismantle the syndicate that destroyed her life, guided by her personal code of honor and unstoppable resolve.","['Ghost Dog: The Way of the Samurai', 'The Killer', 'Kill Bill: Vol. 1', 'Assassins', 'Kill Bill: Vol. 2', 'Leon: The Professional', 'John Wick', 'The Bourne Identity']"
4,121,Galactic Saga Adventures,"These movies together form the thrilling Star Wars saga, blending epic battles, heroic journeys, deep lore around the Force, and the eternal struggle between good and evil in a sprawling galaxy far, far away.","In a galaxy torn apart by war and tyranny, a young hero discovers mysterious powers to challenge a ruthless empire. As rebellions ignite and dark forces rise, unlikely heroes band together in a desperate bid to restore hope and balance to the galaxy.","['Star Wars: The Last Jedi', 'Star Wars: The Force Awakens', 'Solo: A Star Wars Story', 'Star Wars: Episode II - Attack of the Clones', 'The Empire Strikes Back', 'Rogue One: A Star Wars Story', 'Star Wars: Episode III - Revenge of the Sith', 'Star Wars', 'Star Wars: Episode I - The Phantom Menace', 'Return of the Jedi', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode VI - Return of the Jedi']"
5,136,Viral Outbreak Thrillers,"A pulse-pounding genre that centers around deadly viruses and pandemics unleashing chaos on humanity, with desperate survivors battling infection, quarantine efforts, and mutated horrors amid collapsing societies.","After a mysterious virus escapes from a secret lab, a ragtag group of survivors must navigate the infected wasteland while racing against time and unraveling conspiracy to stop the global pandemic before it extinguishes the last hope for mankind.","['Outbreak', '28 Days Later', 'Day of the Dead', 'Contagion', 'The Happening', 'Resident Evil', '28 Weeks Later']"
6,138,Grit & Grind Crime Thrillers,"These movies dive into the darkest corners of crime, corruption, and redemption, featuring morally complex characters navigating chaotic urban landscapes filled with violence, suspense, and raw human emotion. They expertly blend action, noir, and intricate storytelling to expose the gritty realities of criminal lives and the fragile boundaries between law and chaos.","In a city where trust is a luxury and loyalty is tested at every corner, a disillusioned detective partners with a rogue ex-criminal to unravel an elaborate conspiracy. As danger and deception close in, both must confront their haunted pasts and navigate a brutal underworld where survival means embracing the shadows.","['The Last Boy Scout', 'L.A. Confidential', 'Pulp Fiction', 'Narc', 'U Turn', 'Tequila Sunrise', 'Running Scared', '15 Minutes', '16 Blocks', '48 Hrs.', 'The Freshman', 'Fast & Furious', 'Fast Five', 'Fast & Furious 6', 'Magnolia']"
7,152,Galactic Legacy Adventures,"This genre captures the epic space-operatic tales of starship crews navigating complex interstellar conflicts, moral dilemmas, and exploratory missions that define iconic space saga legacies.","In the distant future, the elite crew of the starship Legacy embarks on a critical mission to prevent an ancient cosmic threat from annihilating the Federation. Facing moral quandaries, fierce enemies, and uncharted galaxies, their unity and courage will decide the fate of billions as old rivals and new allies collide in this high-stakes cosmic adventure.","['Star Trek: First Contact', 'Star Trek: Nemesis', 'Star Trek Beyond', 'Star Trek: The Motion Picture', 'Star Trek VI: The Undiscovered Country', 'Star Trek Into Darkness', 'Star Trek II: The Wrath of Khan', 'Star Trek IV: The Voyage Home', 'Star Trek: Insurrection', 'Star Trek: Generations', 'Star Trek']"
8,185,Clever Captives & Criminal Capers,"This genre combines crime heists, kidnappings, hostage negotiations, and antiheroes’ high-stakes, often wryly humorous attempts to outsmart each other. The focus is on tense negotiations, cunning criminal plans, and clever twists within abduction and crime scenarios where both captors and captives scheme back.","When a slick investor's betrayal threatens their startup, three unlikely friends orchestrate a bungled kidnapping that spirals into a chaotic web of schemes and double-crosses. As rival bounty hunters, hostage negotiators, and criminal masterminds close in, alliances twist and secrets explode in a wild, razor-sharp crime adventure full of laughs, suspense, and unexpected redemption.","['Horrible Bosses 2', 'Inside Man', 'For a Few Dollars More', 'The Taking of Pelham 1 2 3', 'Hostage', 'The Negotiator', 'The Italian Job', 'The Way of the Gun', 'Suicide Kings', 'Faster, Pussycat! Kill! Kill!', 'The Edukators', 'Midnight Run']"
9,188,Emotional Ties & City Lights,"These films explore complex personal and familial relationships often framed by rich emotional turmoil and set against vibrant or oppressive urban backdrops, highlighting how personal struggles intertwine with societal expectations in Southern or New York environments.","In a bustling city where old money and modern angst collide, a reserved lawyer gets drawn into a scandalous romance that threatens to unravel the tightly wound social fabric and expose buried family secrets, forcing hearts and loyalties to face an emotional reckoning.","['The Prince of Tides', 'You Can Count on Me', 'A Streetcar Named Desire', 'Everyone Says I Love You', 'The Age of Innocence', 'Revolutionary Road', 'Hiroshima Mon Amour', 'Bright Star', 'Sideways', 'Closer']"
10,228,Robin Hood Renaissance,"This genre celebrates adventurous tales centered around the legendary Robin Hood, highlighting heroic quests for justice, iconic medieval settings, and a vibrant mix of drama, action, and humor.","In a turbulent medieval England, the charismatic outlaw Robin Hood leads his band of merry men to challenge tyranny, fight for the oppressed, and win the love of Maid Marian, navigating battles, betrayals, and laughter along the way.","['The Adventures of Robin Hood', 'Robin Hood: Men in Tights', 'Robin Hood: Prince of Thieves', 'Robin Hood (1973)', 'Robin Hood (2010)', 'Robin Hood: The Legend of Sherwood', 'The Bandit of Sherwood Forest']"
11,251,Gotham Vigilante Saga,"This genre unites films centered around the dark, complex, and often tormented journey of Batman as he combats crime, corruption, and his own dual identity in Gotham City. These movies blend noir, action, tragedy, and heroism within the gothic urban landscape, reflecting the evolution of a symbol of justice filled with moral ambiguity.","Haunted by his parents' murder and Gotham's descent into chaos, Bruce Wayne dons the mantle of the Bat once more. Facing familiar nemeses and a new wave of villains, he struggles to protect the city while wrestling with the shadows within himself. Against a backdrop of betrayal and leadership dilemma, Batman must inspire hope or doom Gotham to darkness.","['Batman: Mask of the Phantasm', 'The Dark Knight Rises', 'The Dark Knight', 'Batman Returns', 'Batman: The Dark Knight Returns, Part 1', 'Batman Begins', 'Batman']"
12,289,Whimsical Inventors & Crime Crackers,"This genre features the charming adventures of an eccentric inventor and his clever dog, combining quirky inventions, lighthearted mystery, and warm-hearted humor that revolves around their small-town escapades.","When a peculiar contraption malfunctions during the annual cheese festival, Wallace and Gromit find themselves untangling a mischievous plot threatening their cozy village, all while navigating their quirky inventions and unexpected friendships.","['A Close Shave', 'A Grand Day Out', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'The Wrong Trousers', 'A Matter of Loaf and Death', 'Chicken Run', 'Shaun the Sheep Movie', 'Flushed Away']"
13,400,Tense Trials & Twisted Lies,"This genre unites movies that plunge viewers into high-stakes legal dramas, gripping murder mysteries, and calculated acts of betrayal. These films are defined by suspenseful courtroom battles, dangerous liaisons, and shocking revelations where every character harbors secrets and justice hangs in the balance.","When a high-profile murder rocks a wealthy community, a dogged lawyer must navigate a labyrinth of deception, hidden motives, and courtroom drama to uncover the chilling truth—and confront the deadly consequences of betrayal.","['Law Abiding Citizen', 'The Next Three Days', 'Dial M for Murder', 'Gone Girl', 'Body Heat', 'Suspicion', 'Fracture', 'Witness for the Prosecution', 'Jagged Edge']"
14,426,Tangled Loyalties & Clever Cons,"This genre centers on complex personal relationships intertwined with deception and con artistry, often revealing deep emotional conflicts and surprising alliances.","In a world where trust is a fragile currency, a clever con artist must navigate shifting loyalties between a mysterious mentor, a troubled family member, and a newcomer with unclear intentions — all while executing the perfect scheme among broken dreams and moral ambiguity.","['The Grifters', 'Matchstick Men', 'Paper Moon', 'The Graduate']"
15,468,WWII Ocean Warfare & Survival,"This genre centers on intense WWII stories set on and beneath the ocean surface, blending high-stakes submarine warfare, the desperate struggle for code-breaking dominance, and harrowing survival tales on perilous waters.","Amidst the roiling Atlantic waves during World War II, a submarine captain fights to avenge his fallen crew while leading his hardened team through deadly underwater battles. Parallel to this, a brilliant group of cryptanalysts race to crack the enemy’s naval codes to turn the tide of war, as survivors of sunken ships and ocean disasters battle the merciless sea to eke out a chance at life.","['Run Silent, Run Deep', 'Enigma', 'U-571', 'Lifeboat', 'Das Boot', 'The Imitation Game', 'The Poseidon Adventure']"
